Time resolution is 1 ps
                   0 clk = 0, data_in = 1010011011110110, detected = 0
                  10 clk = 1, data_in = 1010011011110110, detected = 0
                  20 clk = 0, data_in = 1010011011110110, detected = 0
                  30 clk = 1, data_in = 1010011011110110, detected = 0
                  40 clk = 0, data_in = 1010011011110110, detected = 0
                  50 clk = 1, data_in = 1010011011110110, detected = 0
                  60 clk = 0, data_in = 1010011011110110, detected = 0
                  70 clk = 1, data_in = 1010011011110110, detected = 1
                  80 clk = 0, data_in = 1010011011110110, detected = 1
                  90 clk = 1, data_in = 1010011011110110, detected = 0
                 100 clk = 0, data_in = 1010011011110110, detected = 0
                 110 clk = 1, data_in = 1010011011110110, detected = 0
                 120 clk = 0, data_in = 1010011011110110, detected = 0
                 130 clk = 1, data_in = 1010011011110110, detected = 0
                 140 clk = 0, data_in = 1010011011110110, detected = 0
                 150 clk = 1, data_in = 1010011011110110, detected = 0
                 160 clk = 0, data_in = 1010011011110110, detected = 0
                 170 clk = 1, data_in = 1010011011110110, detected = 0
                 180 clk = 0, data_in = 1010011011110110, detected = 0
                 190 clk = 1, data_in = 1010011011110110, detected = 0
                 200 clk = 0, data_in = 1010011011110110, detected = 0
                 210 clk = 1, data_in = 1010011011110110, detected = 0
                 220 clk = 0, data_in = 1010011011110110, detected = 0
                 230 clk = 1, data_in = 1010011011110110, detected = 1
                 240 clk = 0, data_in = 1010011011110110, detected = 1
                 250 clk = 1, data_in = 1010011011110110, detected = 0
                 260 clk = 0, data_in = 1010011011110110, detected = 0
                 270 clk = 1, data_in = 1010011011110110, detected = 0
                 280 clk = 0, data_in = 1010011011110110, detected = 0
                 290 clk = 1, data_in = 1010011011110110, detected = 0
                 300 clk = 0, data_in = 1010011011110110, detected = 0
                 310 clk = 1, data_in = 1010011011110110, detected = 0
                 320 clk = 0, data_in = 1010011011110110, detected = 0
                 330 clk = 1, data_in = 1010011011110110, detected = 0
                 340 clk = 0, data_in = 1010011011110110, detected = 0
